condition_id,position_id,distance_band,lateral_band,initial_yaw_deg_wrap90,manual_success,manual_primary_failure_type,manual_quality_flags,manual_note,shared_autonomy_success,shared_autonomy_primary_failure_type,shared_autonomy_quality_flags,shared_autonomy_note
left_middle_yaw_0,left_middle,middle,left,0,true,,xy_offset,Successful face grasp and placement; grasp position was farther than nominal.,true,,xy_offset|over_rotation,Successful face grasp and placement; grasp position was farther than nominal and rotation exceeded nominal by 10-15 degrees.
left_middle_yaw_22_5,left_middle,middle,left,22.5,true,,under_rotation,Successful face grasp and placement; rotation was under 5 degrees below nominal.,true,,under_rotation,Successful face grasp and placement; rotation was 5-10 degrees below nominal.
left_middle_yaw_neg22_5,left_middle,middle,left,-22.5,true,,xy_offset,Successful face grasp and placement; grasp position was farther than nominal.,true,,under_rotation,Successful face grasp and placement; rotation was 10-15 degrees below nominal.
left_middle_yaw_45,left_middle,middle,left,45,false,edge_grasp,under_rotation,Failed because the gripper did not rotate and grasped an edge.,false,edge_grasp,under_rotation,Failed because the gripper did not rotate and grasped an edge.
center_middle_yaw_0,center_middle,middle,center,0,true,,over_rotation,Successful face grasp and placement; rotation exceeded nominal by 5-10 degrees.,true,,over_rotation,Successful face grasp and placement; rotation exceeded nominal by 5-10 degrees.
center_middle_yaw_22_5,center_middle,middle,center,22.5,true,,xy_offset|under_rotation,Successful face grasp and placement; grasp position was farther than nominal and rotation was 5-10 degrees below nominal.,true,,xy_offset,Successful face grasp and placement; grasp position was slightly nearer than nominal.
center_middle_yaw_neg22_5,center_middle,middle,center,-22.5,true,,wrong_rotation_sign|yaw_alignment_error,Successful face grasp on the alternate opposing faces after rotating in the opposite direction; yaw deviation was 25-30 degrees.,true,,under_rotation,Successful face grasp and placement with almost no rotation; rotation was 20-25 degrees below nominal.
center_middle_yaw_45,center_middle,middle,center,45,false,edge_grasp,under_rotation,Failed because the gripper did not rotate and grasped an edge.,true,,under_rotation,Successful face grasp and placement; the gripper remained on the faces but rotation was 30-35 degrees below nominal.
right_middle_yaw_0,right_middle,middle,right,0,true,,xy_offset|over_rotation,Successful face grasp and placement; grasp position was nearer than nominal and rotation exceeded nominal by 5-10 degrees.,true,,,Successful clean face grasp and placement.
right_middle_yaw_22_5,right_middle,middle,right,22.5,true,,,Successful clean face grasp and placement.,true,,xy_offset,Successful face grasp and placement; grasp position was left of nominal.
right_middle_yaw_neg22_5,right_middle,middle,right,-22.5,true,,,Successful clean face grasp and placement.,true,,under_rotation,Successful face grasp and placement; rotation was 10-15 degrees below nominal.
right_middle_yaw_45,right_middle,middle,right,45,true,,under_rotation,Successful face grasp and placement; rotation was 15-20 degrees below nominal.,false,edge_grasp,under_rotation|xy_offset,Failed because rotation was 15-20 degrees below nominal and the nearer-than-nominal position produced an edge grasp.
left_far_yaw_0,left_far,far,left,0,false,no_grasp,reach_error,Failed because the gripper did not reach a graspable position.,true,,xy_offset|over_rotation,Successful face grasp and placement; grasp position was nearer than nominal and rotation exceeded nominal by 5-10 degrees.
left_far_yaw_22_5,left_far,far,left,22.5,false,no_grasp,reach_error|under_rotation,Failed because the gripper did not reach a graspable position; rotation was insufficient and the gripper made almost no contact.,true,,xy_offset,Successful face grasp and placement; grasp position was nearer than nominal.
left_far_yaw_neg22_5,left_far,far,left,-22.5,false,grasp_slip_or_drop,reach_error|yaw_alignment_error|slip,"Failed because the gripper did not reach the intended position, yaw alignment was incorrect, and the cube slipped before placement.",true,,xy_offset|wrong_rotation_sign|yaw_alignment_error,"Successful face grasp on the alternate opposing faces; grasp position was nearer than nominal, rotation direction was reversed, and yaw deviation was 30-35 degrees."
left_far_yaw_45,left_far,far,left,45,false,edge_grasp,under_rotation,Failed because the gripper performed almost no rotation and grasped an edge.,true,,xy_offset|under_rotation,Successful face grasp and placement; grasp position was farther than nominal and rotation was approximately 5 degrees below nominal.
center_far_yaw_0,center_far,far,center,0,false,no_grasp,xy_offset|reach_error,Failed because the nearer-than-nominal approach did not reach a graspable position.,true,,xy_offset|over_rotation,Successful face grasp and placement; grasp position was nearer than nominal and rotation exceeded nominal by 10-15 degrees.
center_far_yaw_22_5,center_far,far,center,22.5,true,,xy_offset,Successful face grasp and placement; grasp position was left and nearer than nominal.,true,,,Successful clean face grasp and placement.
center_far_yaw_neg22_5,center_far,far,center,-22.5,true,,xy_offset|under_rotation,Successful face grasp and placement; grasp position was nearer than nominal and rotation was 5-10 degrees below nominal.,true,,xy_offset|under_rotation,Successful face grasp and placement; grasp position was nearer than nominal and rotation was 20-25 degrees below nominal.
center_far_yaw_45,center_far,far,center,45,true,,,Successful clean face grasp and placement.,true,,,Successful clean face grasp and placement.
right_far_yaw_0,right_far,far,right,0,true,,xy_offset,Successful face grasp and placement; grasp position was substantially nearer than nominal and close to the no-grasp boundary.,true,,over_rotation,Successful face grasp and placement; rotation exceeded nominal by 5-10 degrees.
right_far_yaw_22_5,right_far,far,right,22.5,false,no_lift,xy_offset|under_rotation,Failed because the nearer-than-nominal position and insufficient rotation prevented the cube from being lifted.,true,,,Successful clean face grasp and placement.
right_far_yaw_neg22_5,right_far,far,right,-22.5,true,,xy_offset|under_rotation,Successful face grasp and placement; grasp position was nearer than nominal and rotation was 5-10 degrees below nominal.,true,,wrong_rotation_sign|under_rotation,Successful face grasp on the alternate opposing faces after rotating in the opposite direction; rotation was 15-20 degrees below that orientation.
right_far_yaw_45,right_far,far,right,45,false,edge_grasp,xy_offset|under_rotation,Failed because the unsuitable position and insufficient rotation produced an edge grasp.,true,,xy_offset,Successful face grasp and placement; grasp position was left and nearer than nominal.
